,date,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt
68,1931-08-31,0.003078467,-0.001546856,-0.01872388,-0.02071422,0.009468318,13.86,37096785.800000004,724.0,37090640.4,718.0
69,1931-09-30,-0.2917314,-0.2969413,-0.3127533,-0.3170485,-0.2994228,9.71,25722595.5,722.0,36379694.1,710.0
70,1931-10-31,0.08150863,0.07821291,0.105333,0.1024297,0.08444902,10.53,27740364.1,726.0,25632028.200000003,711.0
71,1931-11-30,-0.08840158000000001,-0.09490846,-0.08821649000000001,-0.09058991,-0.09781577,9.5,25120457.8,729.0,27678912.200000003,719.0
72,1931-12-31,-0.134971,-0.1434927,-0.1872393,-0.1930577,-0.1452632,8.12,21544308.1,722.0,24991440.400000002,713.0
73,1932-01-30,-0.01053417,-0.01296311,0.08591983,0.08353971,-0.02832512,7.89,21345663.400000002,728.0,21526568.8,718.0
74,1932-02-29,0.05766299,0.05059035,0.02273198,0.02041947,0.05069708,8.29,22389672.8,726.0,21301516.0,722.0
75,1932-03-31,-0.1105994,-0.1179782,-0.1195641,-0.1238199,-0.1182147,7.31,19826566.0,725.0,22351964.900000002,718.0
76,1932-04-30,-0.1794166,-0.1820323,-0.1810561,-0.1850777,-0.2024624,5.83,16156819.600000001,710.0,19750040.8,709.0
77,1932-05-31,-0.2061978,-0.2128043,-0.2023028,-0.2055538,-0.2332762,4.47,12678021.100000001,711.0,16090276.4,702.0
78,1932-06-30,-0.004288574,-0.01585414,0.04127665,0.03499296,-0.008948546,4.43,12392613.4,706.0,12654133.3,699.0
79,1932-07-30,0.3406433,0.3381623,0.4334992,0.4312231,0.3769752,6.1,16579630.0,715.0,12353198.200000001,704.0
80,1932-08-31,0.3713877,0.3653134,0.6680965,0.6663363,0.3754098,8.39,22672420.0,712.0,16576784.8,710.0
81,1932-09-30,-0.02864889,-0.03460895,-0.05944202,-0.06265917,-0.03694875,8.08,21886062.900000002,712.0,22648760.0,707.0
82,1932-10-31,-0.1325531,-0.1340244,-0.1647925,-0.1659941,-0.1386139,6.96,18889026.8,709.0,21809281.400000002,708.0
83,1932-11-30,-0.05826015,-0.06351214,-0.07387409,-0.07615178,-0.05890805,6.55,17697718.2,708.0,18824081.3,704.0
84,1932-12-31,0.04522722,0.0365367,-0.03662224,-0.04052138,0.0519084,6.89,18339302.2,705.0,17658237.1,700.0
85,1933-01-31,0.009813348000000001,0.007889430000000001,0.03588346,0.03437404,0.007256894000000001,6.94,18536591.6,708.0,18333864.3,703.0
86,1933-02-28,-0.1532038,-0.1580706,-0.1554431,-0.1580124,-0.184438,5.66,15600182.9,705.0,18534273.6,704.0
87,1933-03-31,0.03310537,0.02502997,0.100121,0.09661105,0.0335689,5.85,15813731.9,698.0,15429864.0,694.0
88,1933-04-29,0.3941433,0.3921327,0.5182491,0.5170556,0.4222222,8.32,22159068.1,698.0,15788144.8,691.0
89,1933-05-31,0.2132608,0.209702,0.6059863,0.6049458,0.1586538,9.64,26825922.200000003,700.0,22135288.700000003,692.0
90,1933-06-30,0.1333642,0.1287616,0.22643,0.2242505,0.1317427,10.91,30299248.3,697.0,26746346.6,690.0
91,1933-07-31,-0.09634148000000001,-0.09726182,-0.09241687,-0.09312125,-0.08799267,9.95,27399882.400000002,698.0,30284033.1,694.0
92,1933-08-31,0.1212846,0.1188808,0.1145524,0.1137075,0.1145729,11.09,30684781.400000002,695.0,27348443.200000003,690.0
93,1933-09-30,-0.1058357,-0.1099314,-0.1500094,-0.1520515,-0.1136159,9.83,27231512.900000002,702.0,30567105.1,692.0
94,1933-10-31,-0.0836499,-0.08504699,-0.1078866,-0.1089498,-0.08850458,8.96,24950664.700000003,704.0,27220087.900000002,700.0
95,1933-11-29,0.09989588,0.09480579,0.06509415,0.06362449,0.1026786,9.88,27400411.1,704.0,24924405.400000002,700.0
96,1933-12-30,0.01787564,0.01352499,0.01724187,0.01467044,0.02226721,10.1,27775752.200000003,707.0,27394283.5,700.0
97,1934-01-31,0.1267794,0.1250781,0.3155458,0.3138537,0.1059406,11.17,31241572.200000003,707.0,27750008.0,703.0
98,1934-02-28,-0.0242871,-0.02769406,0.01086323,0.009607101,-0.03670546,10.76,30429138.700000003,708.0,31224127.700000003,703.0
99,1934-03-31,0.004425098000000001,0.0001793101,0.008061939,0.005911801,-0.0009293680000000001,10.75,30379245.6,706.0,30373704.900000002,703.0
100,1934-04-30,-0.01834544,-0.0197426,0.0002638135,-0.0009645332,-0.02697674,10.46,29865697.700000003,712.0,30366089.400000002,705.0
101,1934-05-31,-0.07227332,-0.07535212,-0.1072395,-0.1084537,-0.08126195,9.61,27612799.900000002,709.0,29849091.700000003,708.0
102,1934-06-30,0.02534446,0.02082335,0.003577735,0.001190147,0.02081165,9.81,28164146.3,709.0,27576371.6,706.0
103,1934-07-31,-0.1093633,-0.1111295,-0.1860369,-0.1875602,-0.1151886,8.68,24986019.8,704.0,28057466.1,701.0
104,1934-08-31,0.05704261,0.05171052,0.09856063,0.09689326000000001,0.05414747,9.15,26767180.1,709.0,24962394.3,701.0
105,1934-09-29,-0.002361888,-0.006752963000000001,-0.01174757,-0.01425596,-0.005464481,9.1,26487053.8,713.0,26624697.900000002,707.0
106,1934-10-31,-0.01889535,-0.02033311,-0.01923021,-0.02066452,-0.03186813,8.81,26092254.200000003,707.0,26444729.900000002,705.0
107,1934-11-30,0.08209548,0.07748412,0.1287046,0.1266219,0.08286039,9.54,28157905.900000002,707.0,26091382.400000002,705.0
108,1934-12-31,0.003554074,-0.001823934,0.01473514,0.01175007,-0.004192872,9.5,28113229.6,710.0,28157905.900000002,707.0
109,1935-01-31,-0.03341629,-0.03524853,-0.02966337,-0.03145996,-0.04210526,9.1,27097822.8,707.0,28094595.1,707.0
110,1935-02-28,-0.01946191,-0.02377938,-0.05601623,-0.05748075,-0.03956044,8.74,26324446.5,700.0,26961638.400000002,699.0
111,1935-03-30,-0.0360132,-0.04113876,-0.07335320000000001,-0.07603399,-0.03089245,8.47,25101317.700000003,698.0,26039674.6,690.0
112,1935-04-30,0.09045231000000001,0.08898704,0.1016284,0.1002677,0.09563164,9.28,27646747.200000003,706.0,25101037.900000002,696.0
113,1935-05-31,0.03456105,0.0306583,0.02440097,0.02268226,0.03232758,9.58,28514274.700000003,706.0,27632030.6,702.0
114,1935-06-29,0.05779622,0.05303206,0.04018897,0.03734658,0.06784969,10.23,30033506.6,706.0,28508076.8,703.0
115,1935-07-31,0.07416016,0.07261322,0.1103824,0.1088756,0.08308896,11.08,32144750.1,703.0,29793787.400000002,693.0
116,1935-08-31,0.02677315,0.02297936,0.08308413,0.08162418,0.02166065,11.32,32977159.200000003,706.0,32141164.200000003,699.0
117,1935-09-30,0.02607417,0.02172667,0.02379807,0.02120902,0.02385159,11.59,33700508.1,709.0,32885151.1,702.0
118,1935-10-31,0.06943941000000001,0.06791967,0.08277620000000001,0.08134282,0.07506471,12.46,35968841.300000004,708.0,33682421.1,707.0
119,1935-11-30,0.05287168,0.04789818,0.1457816,0.1437111,0.03932584,12.95,37713163.800000004,710.0,35939281.300000004,705.0
120,1935-12-31,0.04692622,0.0424954,0.06024341,0.0568446,0.03706564,13.43,39582694.2,719.0,37653201.300000004,708.0
121,1936-01-31,0.06955885,0.06774869,0.1501649,0.1485457,0.06552494,14.31,42272563.6,718.0,39563550.2,716.0
122,1936-02-29,0.02540242,0.02223048,0.04561857,0.04411085,0.01677149,14.55,43302576.1,722.0,42242068.6,715.0
123,1936-03-31,0.008253022,0.004881346,0.00594707,0.003494823,0.02542955,14.92,43361377.800000004,719.0,42870618.1,713.0
